Ligand ID,Ligand Image,Ligand Formula,Ligand MW,Ligand Name,Ligand SMILES,PDB IDs Total,PDB IDs Free Ligand,PDB IDs Polymeric Ligand,Instance PDB IDs (All),Instance PDB IDs as Free Ligand,Instance PDB IDs as part of a polymer
"DD9","DD9","C9 H20","128.26","nonane","CCCCCCCCC","24","24","0","3ATR,3HAP,3HAQ,4DX5,4Y9H,5B34,5B35,5B6V,5B6W,5B6X,5B6Y,5B6Z,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P,5KYM,5LRI,5NC5","3ATR,3HAP,3HAQ,4DX5,4Y9H,5B34,5B35,5B6V,5B6W,5B6X,5B6Y,5B6Z,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P,5KYM,5LRI,5NC5",""
"DE1","DE1","C10 H22 O","158.28","DECAN-1-OL","CCCCCCCCCCO","3","3","0","1ZNL,5EED,5EEE","1ZNL,5EED,5EEE",""
"DKA","DKA","C10 H20 O2","172.26","DECANOIC ACID","CCCCCCCCCC(O)=O","30","28","2","1E7E,1F91,1FK0,1GXS,1P8J,1QQS,1T5M,1T5N,1TF0,1TFJ,1W66,1WBE,1XT7,2FVF,2VDB,3DFK,3NQ3,3STT,3STU,3STY,3U9Q,4GHW,4MFP,4MFQ,4RW3,4TJZ,4WM8,4YFA,5IBO,5JMO","1E7E,1F91,1FK0,1GXS,1QQS,1T5M,1T5N,1TF0,1TFJ,1W66,1WBE,1XT7,2FVF,2VDB,3DFK,3NQ3,3STT,3STU,3STY,3U9Q,4GHW,4MFP,4MFQ,4RW3,4TJZ,4WM8,4YFA,5IBO","1P8J,5JMO"
"EW8","EW8","C19 H38 O2","298.50","nonadecanoic acid","CCCCCCCCCCCCCCCCCCC(O)=O","1","1","0","6GE7","6GE7",""
"F09","F09","C9 H20 O","144.25","NONAN-1-OL","CCCCCCCCCO","30","30","0","1K4C,1K4D,1R3I,1R3J,1R3L,1S5H,1YCE,1ZNK,1ZWI,2ATK,2DWD,2DWE,2HVJ,2HVK,2JK5,2P7T,2W0F,2WGM,4LBE,4UUJ,5EBL,5EBM,5EBW,5EC1,5EC2,5VK6,5VKE,5VKH,6BY2,6BY3","1K4C,1K4D,1R3I,1R3J,1R3L,1S5H,1YCE,1ZNK,1ZWI,2ATK,2DWD,2DWE,2HVJ,2HVK,2JK5,2P7T,2W0F,2WGM,4LBE,4UUJ,5EBL,5EBM,5EBW,5EC1,5EC2,5VK6,5VKE,5VKH,6BY2,6BY3",""
"F15","F15","C15 H30 O2","242.40","PENTADECANOIC ACID","CCCCCCCCCCCCCCC(O)=O","5","5","0","1XV9,1XVP,4Z69,6EOP,6GFS","1XV9,1XVP,4Z69,6EOP,6GFS",""
"F23","F23","C23 H46 O2","354.61","TRICOSANOIC ACID","CCCCCCCCCCCCCCCCCCCCCCC(O)=O","1","1","0","1LLF","1LLF",""
"HE2","HE2","C6 H14 O","102.18","HEXAN-1-OL","CCCCCCO","3","3","0","1ZNE,3WL4,4C6H","1ZNE,3WL4,4C6H",""
"HE4","HE4","C7 H16 O","116.20","HEPTAN-1-OL","CCCCCCCO","1","1","0","1ZNG","1ZNG",""
"HP6","HP6","C7 H16","100.20","HEPTANE","CCCCCCC","30","30","0","2ALG,2B5S,2JK5,2LZV,2LZW,2XE5,2YGU,3HAP,3HAQ,3HAS,4HWL,4Y9H,5A44,5AB1,5B34,5B35,5B6V,5B6W,5B6X,5B6Y,5B6Z,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P","2ALG,2B5S,2JK5,2LZV,2LZW,2XE5,2YGU,3HAP,3HAQ,3HAS,4HWL,4Y9H,5A44,5AB1,5B34,5B35,5B6V,5B6W,5B6X,5B6Y,5B6Z,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P",""
